#,AdultEducationSubsidies,Stöd till vuxenutbildning,"Stöd till vuxenutbildning är ett sätt att uppmuntra människor att omskola sig och fortsätta sin utbildning efter att de har anslutit sig till arbetskraften. Detta inkluderar kvällskurser och distansutbildningsresurser. Dessa system bidrar till att höja arbetskraftens övergripande utbildningsnivå."
#,AgricultureSubsidies,Stöd till jordbruk,"Av strategiska anledningar är vissa regeringar glada att betala ut stöd till lantbrukare för att säkerställa nationens livsmedelssäkerhet. Detta går emot fri marknadsekonomi och kan vara väldigt dyrt, men det garanterar jobb (och röster) på landsbygden."
#,AirlineTax,Flygskatt,"Flygbränsle har generellt sett inte varit föremål för beskattning. De som uppmuntrar beskattning av flygbränsle insisterar att avsaknande av detta resulterar i en orättvis subvention på en miljöförstörande transportform. Flygkedjorna menar istället att beskattning av flygbränsle leder till att de tankar någon annanstans därigenom avleda medel från vår ekonomi."
#,AlcoholLaw,Alkohollag,"Det finns rikligt med bevis som tyder på att överdriven alkoholkonsumtion kan leda till hälsoproblem och till och med för tidig död. Däremot, invänder vissa människor emot att staten lägger sig i en individs rätt att välja vad hen dricker. Det finns också en motsättning i att regeringen kan tjäna in en massa pengar genom beskattning av alkohol."
#,AlcoholTax,Alkoholskatt,"Medicinskt sett finns det en klar anledning för regeringen att beskatta alkohol i syfte att nedslå konsumtion på grund av dess negativa effekter på hälsan samt dess potentiella korrelation med social utslagning. Å andra sidan, ser de som dricker socialt att regeringen drar nytta av en sådan skatt är hycklande."
#,ArmedPolice,Beväpnad polis,"Beväpnande av polisen kan vara en effektiv strategi i att bekämpa brottsligheten och upprätthålla ordning. Motståndare menar att det uppmuntrar kriminella att använda skjutvapen i en 'kriminella kapprustning'. Kritiker oroar sig också för att beväpna polisen kommer distansera dem från laglydiga medborgare."
#,BanSundayShopping,Söndagsstängda affärer,"Den kristna tron erkänner 'Sabbatsdagen' som en 'vilodag' och många religiösa människor anser att ingen shopping ska göras på den dagen. Vissa fackföreningar tycker också att en påtvingad vilodag motverkar utnyttjandet av deras medlemmar."
#,BiofuelSubsidies,Subventioner till biobränsle,"Biobränslen kan reducera efterfrågan på olja, genom att blanda etanol härrör från majs med petrokemiskt bränsle. Detta är naturligtvis populärt bland miljöaktivister. Lantbrukare som tjänar pengar på att producera majs för biobränsle drar också nytta av detta. Biobränslen med en högre inblandning av etanol kan subventioneras genom skattelättnader."
#,BorderControls,Gränskontroller,"Utan någon sorts tullkontroll vid gränserna, är ditt land öppet mål för massiv illegal invandring. Vissa argumenterar för att dessa invandrare begår brott, andra för att de tar jobb ifrån dina egna medborgare. Gränskontroller kan vara effektiva i att reducera illegal invandring."
#,BusLanes,Bussfiler,"Att avsätta specifika körfält på en väg för endast bussar (samt kanske taxibilar och motorcyklar) är ett sätt att få trafiken flytande och undvika trängsel. Det kortar också väntetiden för lokaltrafiken och därigenom uppmuntrar användande. Det finns märkbara kostnader för att inrätta sådana system, och bilister kan bli irriterade om bussfilerna står tomma medan de förblir fast i trafiken."
#,BusSubsidies,Subventionerade bussar,"Trängsel i trafiken och förorening kan reduceras genom att uppmuntra folk till att resa med buss istället för med bil. Det kan dock vara ett dyrt alternativ, och vissa bilister kan ogilla att ett transportsystem de inte använder subventioneras."
#,CarbonTax,Koldioxidskatt,"En koldioxidskatt är en skatt som tas ut på alla utsläpp av koldioxid, som är den största orsaken till klimatförändringar. Skatten är egentligen en föroreningsskatt, och ett sätt att se till att de individer samt industrier som bidrar mest till klimatförändringar betalar för skadan de orsakar eller att reducera utsläppen. Skatten är förstås populär bland miljöaktivister, och kan också leda till en energieffektiv ekonomi."
#,CarEmmissionsLimits,Utsläppsgränser för bilar,"
#,CarTax,Fordonsskatt,"
#,CCTVCameras,Kameraövervakning,"
#,ChildBenefit,Barnbidrag,"
#,ChildcareProvision,Barnomsorg,"
#,CitizenshipTests,Medborgarskapstest,"
#,CleanEnergySubsidies,Stöd till fossilfri energi,"
#,CleanFuelSubsidy,Stöd till rent bränsle,"
#,CommunityPolicing,Närpolis,"
#,ConsumerRights,Konsumenträttigheter,"
#,CorporationTax,Bolagsskatt,"
#,Creationism,Utbildningens sekularisering,"
#,Curfews,Utegångsförbud,"
#,DeathPenalty,Dödsstraff,"
#,DetentionWithoutTrial,Häktning utan rättegång,"
#,DisabilityBenefit,Handikappersättning,"
#,FaithSchoolSubsidies,Bidrag till religiösa skolor,"
#,ForeignAid,Bistånd,"
#,FreeBusPasses,Gratis bussbiljetter,"
#,FreeEyeTests,Gratis syndundersökningar,"
#,FreeSchoolMeals,Gratis skolmat,"
#,Gambling,Spelande,"
#,GatedCommunities,Grindsamhällen,"
#,GraduateTax,Examensskatt,"
#,HandgunLaws,Vapenlag,"
#,HybridCarsInitiative,Initiativ för hybridbilar,"
#,IDCards,ID-kort,"
#,ImportTarrifs,Importtullar,"
#,IncomeTax,Inkomstskatt,"
#,FlatTax,Platt skatt,"
#,CapitalGainsTax,Kapitalvinstskatt,"
#,InheritanceTax,Arvsskatt,"
#,IntelligenceServices,Underrättelsetjänster,"
#,InternetCensorship,Internetcensur,"
#,InternetTax,Internetskatt,"
#,JuryTrial,Juryrättegång,"
#,LabourLaws,Arbetsrätt,"
#,LegalAid,Rättshjälp,"
#,LegaliseProstitution,Legalisera prostitution,"
#,LuxuryGoodsTax,Skatt på lyxkonsumtion,"
#,MarriedTaxAllowance,Skatteavdrag vid giftermål,"
#,MaternityLeave,Mammaledighet,"
#,MicrogenerationGrants,Anslag för egenförsöjning av el,"
#,MilitarySpending,Försvarsutgifter,"
#,Monorail,Stöd till höghastighetståg,"
#,MortgageTaxRelief,Ränteavdrag på bolån,"
#,Narcotics,Narkotikalag,"
#,NationalService,Allmän värnplikt,"
#,OrganDonation,Organdonation,"
#,OrganicSubsidy,Subventioner till ekologiskt jordbruk,"
#,PetrolTax,Bensinskatt,"
#,PhoneTapping,Telefonavlyssning,"
#,PlasticBagTax,Plastpåseskatt,"
#,PoliceForce,Polismakten,"
#,PollutionControls,Föroreningskontroller,"
#,PrisonerTagging,Elektronisk fotboja,"
#,Prisons,Fängelser,"
#,PropertyTax,Fastighetsskatt,"
#,PublicLibraries,Offentliga bibliotek,"
#,RacialProfiling,Rasprofilering,"
#,RaceDiscriminationAct,Lag mot rasdiskriminering,"
#,Recycling,Återvinning,"
#,RoadBuilding,Vägbyggande,"
#,RuralDevelopmentGrants,Bidrag för landsbygdsutveckling,"
#,SalesTax,Moms,"
#,SateliteRoadPricing,Satellitsystem för trängselskatt,"
#,SchoolBuses,Subventionerade skolskjutsar,"
#,SchoolPrayers,Bönestunder i skolan,"
#,ScienceFunding,Vetenskap och forskning,"
#,SmallBusinessGrants,Stöd till småföretag,"
#,SpaceProgram,Rymdprogram,"
#,SpeedCameras,Fartkameror,"
#,StateHealthService,Statlig hälso- och sjukvård,"
#,StateHousing,Statligt bostadsbyggande,"
#,StatePensions,Statlig pension,"
#,StateSchools,Statliga skolor,"
#,StemCells,Stamcellsforskning,"
#,TaxShelters,Skatteskydd,"
#,TechnologyColleges,Tekniska högskolor,"
#,TechnologyGrants,Stöd till teknisk utveckling,"
#,TelecommutingInitiative,Distansarbete,"
#,TobacooTax,Tobaksskatt,"
#,TollRoads,Vägtullar,"
#,UnemployedBenefit,Arbetslöshetsersättning,"
#,UniversityGrants,Studiebidrag,"
#,WelfareFraudDept,Bidragsfuskmyndighet,"
#,WinterFuelSubsidy,Elstöd under vintern,"
#,WorkSafetyLaw,Arbetsmiljölag,"
#,YouthClubSubsidies,Stöd till ungdomsklubbar,"
#,AbortionLaw,Abortlag,"
#,RentControls,Hyresreglering,"
#,SchoolVouchers,Skolpeng,"
#,OilDrillingSubsidy,Subventioner till oljeborrning,"
#,MansionTax,Herrgårdsskatt,"
#,FuelEfficiency,Bränslestandarder,"
#,ForeignInvestorTaxBreaks,Skattelättnader för utländska investerare,"
#,RoboticsResearchGrants,Bidrag till robotforskning,"
#,PrivatePrisons,Privata fängelser,"
#,JunkFoodTax,Sockerskatt,"
#,HealthFoodSubsidies,Subventioner till hälsosam mat,"
#,Tasers,Elpistoler,"
#,PoliceDrones,Polisdrönare,"
#,ArtsSubsidies,Kulturbidrag,"
#,HealthcareVouchers,Vårdpeng,"
#,HealthTaxCredits,Skatteavdrag för privat hälso- och sjukvård,"
#,SchoolTaxCredits,Skatteavdrag för privata skolor,"
#,FoodStamps,Livsmedelskuponger,"
#,FoodStandards,Livsmedelsverket,"
#,EnterpriseInvestmentScheme,Företagsinvesteringsplan,"
#,RecreationalDrugsTax,Drogskatt,"
#,HumanCloningResearchGrants,Forskningsbidrag till mänsklig kloning,"
#,DroneStrikeAct,Drönarangrepp,"
#,ElectricCarsInitiative,Elbilsinitiativ,"
#,ClimateChangeAdaptionFund,Fond för klimatanpassning,"
#,OneChildPolicy,Enbarnspolicy,"
#,MarsProgram,Marsprogram,"
#,AntibioticsBan,Förbud mot antibiotika,"
#,MandatoryMicrochipImplant,Obligatorisk mikrochip implantat,"
#,RareEarthRefinement,Brytning av sällsynta jordartsmetaller,"
#,DriverlessCarLaws,Självstyrande bilar,"
#,SyntheticMeatResearchGrants,Forskningsanslag för konstgjort kött,"
#,InternetCurrencyTaxation,Beskattning av kryptovaluta,"
#,VerticalFarmSubsidies,Subventioner till vertikalt jordbruk,"
#,GreenElectronicsInitiative,Initiativ för grön teknik,"
#,InternationalFusionResearchProject,Internationellt fusionsforskningsprojekt,"
#,LimitAutomatedTrading,Begränsa automatiserad handel,"
#,AutomationTax,Automatiseringsskatt,"
#,GovernmentSubsidiesForUnions,Statligt anslag till fackföreningar,"
#,SecretCourts,Hemliga domstolar,"
#,GeneralMediaCensorship,Allmän mediacensur,"
#,TortureUsageBySecretServices,Tillåt tortyranvändning av underrättelsetjänster,"
#,CapCEOPayMultiplier,Lönetak för VD:ar,"
#,BanSecondHomeOwnership,Förbud ägande av flera hem,"
#,Banprivateeducation,Förbud mot privat utbildning,"
#,Banprivatehealthcare,Förbud mot privat hälso- och sjukvård,"
#,Tradeunionbansatcompanies,Begränsning av fackföreningar,"
#,Compulsoryworkfortheunemployed,Obligatoriskt arbete för arbetslösa,"
#,Punitivewealthtax,Förmögenhetsskatt,"
#,Publictaxreturns,Offentliga skattedeklarationer,"
#,Compulsorylanguagelessons,Obligatoriska språklektioner,"
#,Banforeignchurchservice,Förbud mot utländska kyrkor,"
#,Diversityquotasforcompanies,Kvoteringskrav för företag,"
#,Newcarsubsidies,Stöd vid köp av nya bilar,"
#,Flagsoneverystreetcorner,Flaggor vid varje gathörn,"
#,Nationalanthematstartofnews,Nationalsången spelas vid början av nyheter,"
#,Nationalanthemsinschool,Nationalsången spelas i skolor,"
#,Compulsorychurchattendance,Obligatorisk kyrkonärvaro,"
#,Forcepoliticalmilitaryreligiousoath,Tvångsreligiösa eder av militärpersonal"
#,Publicreligiousbroadcasts,Offentliga religiösa nyhetsinslag,"
#,Bandivorce,Förbud mot skilsmässa,"
#,Banhomosexuality,Förbud mot homosexualitet,"
#,Banlowmpgcars,Förbud mot icke-bränslesnåla bilar,"
#,Mandatorymicrogeneration,Obligatorisk egenförsörjning av el,"
#,Punitivetaxonsuperstores,Särskild skatt på varuhus,"
#,Limitorbancarsincities,Begränsning eller förbud mot bilar i städer,"
#,Closeairportscompletely,Stänga ner flygplatser,"
#,HealthyEatingCampaign,Kampanj för hälsosamt ätande,"
#,CyclingCampaign,Cykelkampanj,"
#,CarPoolingCampaign,Samåkningskampanj,"
#,KeepTheCountryTidyCampaign,Håll landet rent kampanj,"
#,TourismAdCampaign,Turismkampanj,"
#,AlcoholAwarenessCampaign,Kampanj för medvetenhet kring alkohol,"
#,BusinessStartupCampaign,Kampanj för att starta företag,"
#,YouthPoliticsCouncil,Ungdomspolitiskt råd,"
#,NationalArmedForcesWeek,Militärvecka,"
#,FreeParentingClasses,Gratis föräldrakurser,"
#,NationalBusinessCouncil,Nationella näringslivsrådet,"
#,SocialJusticeFoundation,Institut för mänskliga rättigheter,"
#,SmartMeterProgram,Elmätare,"
#,NeedleExchangeProgram,Sprututbytningsprogram,"
#,StampOutRacismWeek,Krossa rasismen vecka,"
#,CompulsoryFoodLabelling,Obligatorisk livsmedelsmärkning,"
#,TradeCouncil,Handelsråd,"
#,CompulsoryForeignLanguageClasses,Obligatoriska kurser i främmande språk,"
#,LaborDayBankHoliday,Arbetarrörelsens helgdag,"
#,CityFarms,Koloniträdgårdar,"
#,EcoHomeRegulations,Krav på miljövänliga hus,"
#,YoungEntrepreneurScheme,Plan för unga entreprenörer ,"
#,DiplomaticService,Diplomatiskt råd,"
#,WitnessProtectionProgram,Vittnesskydd,"
#,CompulsorySchoolSports,Obligatorisk skolidrott,"
#,BicycleSubsidies,Anslag vid cykelköp,"
#,FrequentFlyerTax,Skatt på frekvent flygande,"
#,EmptyHomesTax,Skatt på andra hem,"
#,DivertedProfitsTax,Vinstskatt,"
#,UniversalBasicIncome,Medborgarlön,"
#,StateTelecoms,Statligt telekombolag,"
#,StateWater,Statligt vattenbolag,"
#,StateRail,Statligt järnvägsbolag,"
#,StateEnergy,Statligt elbolag,"
#,MinimumWage,Minimilön,"
#,GayMarriage,Samkönade äktenskap,"
#,RightToDie,Dödshjälp,"
#,RightToPrivacy,Rätt till privatliv,"
#,GenderTransition,Könsbyte,"
#,PrisonRegime,Fängelselag,"
#,Reforestation,Återplantering av skog,"
#,StateBroadcaster,Statligt mediabolag,"
#,WorkersOnBoards,Arbetare i styrelser,"
#,TearGas,Tårgas,"
#,RubberBullets,Gummikulor,"
#,WaterCannon,Vattenkanoner,"
#,CarbonCaptureAndStorage,Koldioxidinfångning,"
#,PayrollTax,Arbetsgivaravgift,"
#,BorderWall,Gränsmur,"
#,QuantitativeEasing,Kvantitativ lättnade,"
#,HelicopterMoney,Helikopterpengar,"
#,CharityTaxRelief,Skattelättnader för välgörenhet,"
,,,
#,ExecutiveTermLength,Mandatperiodens längd,"
#,ExecutiveTermLimit,Rotationsprincipen,"
#,JudiciaryIndependence,Rättsligt oberoende,"
#,PressFreedom,Pressfrihet,"
#,ForeignInvestmentRestrictions,Restriktioner mot uländska investerare,"
#,GameHunting,Restriktioner för viltjakt,"
#,AntiCorruptionAgency,Anti-korruptionsbyrå,"
#,FemaleGenitalMutilationBan,Förbud mot könsstympning,"
#,IntellectualPropertyRights,Immateriella rättigheter,"
#,GenderDiscriminationAct,Lag mot könsdiskriminering,"
#,FamilyPlanning,Familjeplanering,"
#,TobaccoAwarenessCampaign,Kampanj för medvetenhet kring tobak,"
#,CapitalControls,Kapitalkontroller,"
#,BodyCameras,Kroppskameror,"
#,SocialCare,Social omsorg,"
#,CongestionCharging,Trängselskatt,"
#,PrisonerVoting,Röstberättigande av fångar,"
#,SelectiveSchooling,Skolors rätt att välja elever,"
#,Cyberbullyingawarenesscampaign,Kampanj för medvetenhet kring nätmobbning,"
#,DrugEnforcement,Drogbekämpningsmyndighet,"
#,DrugTreatment,Missbruksvård,"
#,StateAirline,Statligt flygbolag,"
#,StatePostService,Statligt postverk,"
#,NuclearFission,Kärnkraft,"
,,,
#,SolidarityTax,Solidaritetsskatt,"
#,BanCoal,Förbud mot kol,"
#,FinancialTransactionsTax,Skatt på finansiella transaktioner,"
#,ProportionalFines,Proportionella böter,"
,,,
#,RetirementAge,Pensionsålder,"
#,CitizenshipForSale,Medborgarskap till salu,"
#,ImmigrationRules,Ivandringslagar,"
#,RefugeePolicy,Flyktingpolicy,"
,,,
#,banwomendriving,Förbud mot kvinnligt bilkörande,"
#,religioustax,Kyrkoskatt,"
#,religiousbanknotes,Religiösa sedlar,"
#,statereligion,Statsreligion,"
,,,
#,desalination,Avsaltningsanläggningar,"
#,watermeters,Obligatoriska vattenmätare,"
#,plasticstax,Plastskatt,"
#,packagingtax,Förpackingsskatt,"
#,unexplainedwealth,Oförklarliga förmögenhetsordrar,"
#,competitionlaw,Konkurrenslag,"
#,bordernavy,Gränsflotta,"
#,NuclearWeapons,Kärnvapen,"
#,co2campaign,CO2 Kampanj,"
,,,
#,banalcohol,Förbud mot alkohol,"
#,bantobacco,Förbud mot tobak,"
,,,
#,bancrypto,Förbud mot kryptovaluta,"Allting som dess användare älskar om kryptovaluta, är det som regeringar hatar. En svårbeskattad och svårspårad valuta som är perfekt för internetbrottslingar, och som slösar energi på en kolossal nivå. Dess flyktighet gör att det innebär en instabilitet i ekonomin, alla dessa är anledningar för regeringar att lagstifta om ett förbud."
